,image_name,caption
0,527001b738f0d83b1c13969c_0.jpg,"From left,  Chris Inglis, Deputy Director of the National Security Agency; General Keith B. Alexander, the National Security Agency director; James R. Clapper Jr., the director of national intelligence, and Deputy United States Attorney General James Cole appeared before the House Select Intelligence Committee on Tuesday."
0,544306f338f0d8246e88ca37_0.jpg,"Speakers at the Conservative Political Action Conference on Thursday included Dick Armey, the former House Republican leader."
0,597903c595d0e0246f1fc8b2_1.jpg,"A sketch of the second iteration of the CoffeeBot, a drone that delivers coffee."
1,597903c595d0e0246f1fc8b2_0.jpg,"From left, Anton Voltchok, Steven Reubenstone and Robert Lancer of Collaborizm, a website based in New York that nurtures companies in the so-called pre-incubation stage."
2,597903c595d0e0246f1fc8b2_2.jpg,"John Rodrigues with the CoffeeBot. “I imagined how excited a person would be getting coffee from a bot that goes to others in the office,” he said."
0,5325cf6938f0d8566fa991e4_0.jpg,Brian O'Driscoll celebrated Ireland's victory in the final appearance of his 141-match career.
0,598e4efb95d0e0246f1ff5b8_0.jpg,"Workers at Trump Tower. Opponents of President Trump plan rallies around New York during his stay, including outside his home."
0,53d5226238f0d81a98fabcd5_0.jpg,
0,5294d96d38f0d807e9ba444e_1.jpg,The couch the author slept on in Santiago.
1,5294d96d38f0d807e9ba444e_0.jpg,"Clockwise from left: the Plaza de Armas, a view of the city from Metropolitan Park, pig’s foot soup at Eben-Ezer and strawberries at La Vega Central market."
0,561d5b4f38f0d86f05abeb20_1.jpg,
1,561d5b4f38f0d86f05abeb20_0.jpg,"Versace has opened a standalone Versus store on a prime plot in SoHo, a two-minute walk from an existing Versace store."
2,561d5b4f38f0d86f05abeb20_3.jpg,
3,561d5b4f38f0d86f05abeb20_2.jpg,
4,561d5b4f38f0d86f05abeb20_4.jpg,
0,5695a7e638f0d83e7cfe041b_0.jpg,"The aftermath of a truck bombing of a United States Marines barracks in Beirut, Lebanon, on Oct. 23, 1983."
0,537b636b38f0d8768b063e15_1.jpg,Anna Holmes
1,537b636b38f0d8768b063e15_0.jpg,James Parker
0,52d84efe38f0d809de667776_1.jpg,Krav maga classes come with a cardio workout.
1,52d84efe38f0d809de667776_0.jpg,"The krav maga instructor Jobe O’Leary, left, teaching the self-defense technique to students in Manhattan."
0,559bed5538f0d87e629d567d_1.jpg,"The team celebrating its 5-2 victory, which was the most-watched soccer game in United States history."
1,559bed5538f0d87e629d567d_0.jpg,"At the Women’s World Cup championship game Sunday in Vancouver, British Columbia. The United States defeated Japan, 5-2."
0,5386b4b938f0d83ab049048d_0.jpg,A stranded bear cub in Albany was followed closely this week amid attempts to rescue it.
0,523b63be38f0d8198973a4dd_0.jpg,
0,53f53b7038f0d87ef470e19b_0.jpg,Lloyd E. Constantine
0,56d8c9e138f0d810eb12c6f3_0.jpg,Christoph von Dohnanyi will lead the New York Philharmonic in Brahms’s “A German Requiem” at David Geffen Hall. See listing below.
0,591a530f95d0e024b5870fc3_1.jpg,The Spurs’ Kawhi Leonard reinjured his left ankle after landing on the Warriors’ Zaza Pachulia’s left foot after a shot. He is doubtful for Game 2 on Tuesday.
1,591a530f95d0e024b5870fc3_0.jpg,"Zaza Pachulia after being called for a foul in Game 1 on Sunday. In contesting a shot by Kawhi Leonard, he led Leonard to reinjure his ankle."
0,5643ee3138f0d87765e9fcf3_0.jpg,Andrea Burns in concert at Feinstein’s/54 Below.
0,542459f438f0d8525e45335a_1.jpg,Beatrice Inn.
1,542459f438f0d8525e45335a_0.jpg,"VAPOR TRAIL Tracking the scent of cigarettes around Manhattan. Above, at the Libertine."
2,542459f438f0d8525e45335a_3.jpg,Rose Bar.
3,542459f438f0d8525e45335a_2.jpg,Southside Night Club.
4,542459f438f0d8525e45335a_4.jpg,"ONE OPTION At GoldBar, some patrons chose to smoke outside."
0,59471b5d95d0e024b5878b75_1.jpg,"Khuram Shazad Butt, who was identified as one of the London Bridge attackers. He is said to have been influenced by sermons on YouTube from an Islamic cleric in Michigan."
1,59471b5d95d0e024b5878b75_0.jpg,Gatherers at a vigil for the victims of an attack on London Bridge this month. One of the attackers is said to have become radicalized by watching YouTube videos of an American Islamic preacher.
0,5421b12038f0d83c6e5b71b5_1.jpg,Houston’s Gary Kubiak could lose his head coach position after his team’s recent losses.
1,5421b12038f0d83c6e5b71b5_0.jpg,"Tim Tebow threw for 308 yards, more than any quarterback in Broncos history making his first home start."
2,5421b12038f0d83c6e5b71b5_2.jpg,Miami Coach Tony Sparano also could also be tossed out due to the Dolphins’ late-season collapses.
0,5aa2855a47de81a90120c39f_1.jpg,The composer Meredith Monk with her pet turtle.
1,5aa2855a47de81a90120c39f_0.jpg,Al Pacino in “Salomé.”
2,5aa2855a47de81a90120c39f_3.jpg,“Self-Portrait With Horn” (1938) by Max Beckmann.
3,5aa2855a47de81a90120c39f_2.jpg,The playwright Lindsey Ferrentino.
0,517e8a09cf28d041ca000626_1.jpg,"The Royal ice cream turtle, a puck of vanilla ice cream topped with sticky caramel and chopped walnuts."
1,517e8a09cf28d041ca000626_0.jpg,Diners are treated to effusively friendly service in the slightly dilapidated dining room at Chops ’N’ Catch.
0,53ee9bcc38f0d876e7856249_1.jpg,"In another scene, James Lloyd Reynolds, left, plays Sidney Bruhl, a writer and Myra’s husband, and Patrick Husted plays Porter Milgrim, an upper-class lawyer."
1,53ee9bcc38f0d876e7856249_0.jpg,"Mary Mossberg, above, plays Myra, who fears her husband, Sidney, might be bent on foul play, in “Deathtrap” at the John W. Engeman Theater at Northport."
0,579a475338f0d81bd1ba564d_0.jpg,"Ray Dalio, the founder and chairman of Bridgewater Associates."
0,530fb6bd38f0d82dfa2040a1_0.jpg,Framed refuse: Candy Jernigan’s “Pot Crushed on Houston” (circa 1985-86).
0,55d4a44238f0d825c7c2cc13_1.jpg,“Harlem on My Mind” at the Met in 1969. The exhibition included no paintings or sculptures by black artists.
1,55d4a44238f0d825c7c2cc13_2.jpg,“I’d also never seen an art show so much like a science-museum display. I didn’t know what to do with any of this. So I left thinking: What was that about?”
0,55f6155c38f0d85cacd38fdc_1.jpg,"Mr. Kasper ran the shop seven days a week with little time off. “It kept me busy, but now I’m tired,” he said."
1,55f6155c38f0d85cacd38fdc_0.jpg,"Bill Kasper, known as the Birdman, digging through the piles of his eclectic inventory at Rainbow Music on First Avenue in the East Village."
2,55f6155c38f0d85cacd38fdc_2.jpg,The messy but loved CD shop will close after 17 years.
0,5ac661f9068401528a2a31d5_0.jpg,President Trump
0,5701c59438f0d819809219ab_1.jpg,"Girardi, left, was hired as the Yankees’ manager after the 2007 season. The decision was largely up to Cashman, right."
1,5701c59438f0d819809219ab_0.jpg,"Yankees General Manager Brian Cashman, left, with Manager Joe Girardi in February. “There’s an openness that is encouraged here,” Cashman said."
2,5701c59438f0d819809219ab_2.jpg,"Cashman, left, and Girardi in November 2009, weeks after the Yankees won the World Series. They have not won a playoff game since 2012."
0,56376c7c38f0d829bdc6868c_0.jpg,"Ahead of a campaign event for Donald Trump in Atkinson, N.H., on Monday, people gathered around an illuminated sign of the candidate."
0,54454e3738f0d832c813e961_0.jpg,
0,5a71eea9d4211f00015be46f_1.jpg,"From left, Ronald K. Brown Brown and Arcell Cabuag in Brooklyn."
1,5a71eea9d4211f00015be46f_0.jpg,"Arcell Cabuag, left, and Ronald K. Brown rehearsing “Den of Dreams” in Brooklyn."
2,5a71eea9d4211f00015be46f_2.jpg,"Mr. Brown says of Mr. Cabuag’s dancing: “We went to Cuba, and I think that opened up his range in a way. He realized, I don’t have to hit everything.”"
0,5669fe2338f0d857ec8b0922_0.jpg,"From left, Hamish Linklater, Jeremy Strong, Steve Carell and Rafe Spall, with Ryan Gosling in the background, in “The Big Short,” directed by Adam McKay."
0,56fef5ca38f0d87ce8f364cf_0.jpg,"John Hughes holds a portrait of his son Thomas, a Wall Street banker who committed suicide in May. Mr. Hughes said his son generally liked his job, relentless hours aside, and found the work rewarding and stimulating."
0,515db592cf28d0219d0040ad_0.jpg,"At a Tea Party convention this month in Schaumburg, Ill., part of his current district, Representative Joe Walsh took questions from reporters."
0,5409df3738f0d84fb8832e73_0.jpg,David Brooks
0,55e6a36238f0d86bbc6506d9_0.jpg,
0,59e8b28295d0e0246f210f54_0.jpg,Miles Teller in “Only the Brave.”
0,53f7fb2638f0d835538dc58e_0.jpg,
0,554d29b238f0d8188877cc52_1.jpg,"HUDSON  “Gerosa” (1987) is on view in “Heavy Metal,” an exhibition of paintings by Joe Richards, through May 31 at Carrie Haddad Gallery, 622 Warren Street. For further information: 518-828-1915 or carriehaddadgallery.com."
1,554d29b238f0d8188877cc52_0.jpg,"PLEASANTVILLE  “Actress” will be shown on May 15 at 7:30 p.m. at the Jacob Burns Film Center, 364 Manville Road. A discussion with Brandy Burre, the documentary’s subject, will follow. Tickets are $10 and $15. For further information: 914-747-5555 or burnsfilmcenter.org."
2,554d29b238f0d8188877cc52_3.jpg,"PORT CHESTER  The comedian John Mulaney will perform on May 13 at 8 p.m. at the Capitol Theater, 149 Westchester Avenue. Tickets are $29 and $45. For further information: 914-937-4126 or thecapitoltheatre.com."
3,554d29b238f0d8188877cc52_2.jpg,"TARRYTOWN  “Beach Bloom” (2014), acrylic and oil pastel on canvas, is on view in “A Sense of Place,” an exhibition of paintings by Tjasa Owen, through May 17 at the Canfin Gallery, 39 Main Street. For further information: 914-332-4554 or canfingallery.com."
0,56a23b9338f0d83189a62ea5_0.jpg,
0,580939e395d0e022439c45aa_0.jpg,"Samuele Pucillo in “Fire at Sea,” a documentary by Gianfranco Rosi."
0,5445dfa638f0d832c813f5e5_0.jpg,
0,540aa15d38f0d84fb8833dbb_0.jpg,"Françoise Cachin passing a Manet at a recent exhibition of Impressionists in Essen, Germany."
0,54776dd038f0d854b20b1b32_0.jpg,"Larry Ionescu, center, who owns a fleet of taxis in Chicago, talking with two of his drivers, Mohamed Igal, left, and  Adediran Adeosun. “I’m already at peace with the idea that I’m going to go bankrupt,” he said."
0,5783aa6938f0d874e6b5a540_1.jpg,"Mr. Garner’s mother, Gwen Carr, left, at a news conference last year with Constance Malcolm, the mother of Ramarley Graham, who was fatally shot by a police officer in the Bronx in 2012."
1,5783aa6938f0d874e6b5a540_0.jpg,"Esaw Garner, the widow of Eric Garner, said she was tired of waiting for the federal inquiry into his death to end. “I miss my husband dearly, but I’ve basically stopped asking them what’s going on,” Ms. Garner said."
2,5783aa6938f0d874e6b5a540_2.jpg,"Demonstrators on the Brooklyn Bridge during a march against police violence in December 2014. More than 25,000 people gathered in New York for the protest."
0,5401abc738f0d841b2f39f6d_0.jpg,"A construction site on Sunday in Gilo, part of the disputed land in Jerusalem. Plans for housing there have dismayed Israeli allies."
0,57aa244595d0e021d797f112_0.jpg,"A Muslim woman at the church in Saint-Etienne-du-Rouvray, France, where the Rev. Jacques Hamel was killed on July 26."
0,540ab5d638f0d84fb8833f29_0.jpg,Fred M. Kirby II in 1983.
0,541a65f538f0d80959e6c941_0.jpg,"An assortment of expanded Capes, colonials and bungalows line the finger canals in Babylon Village; each has its own backyard boat slip."
0,534c1b4c38f0d83d1cbe204b_1.jpg,"Tim Pigott-Smith in ""King Charles III."""
1,534c1b4c38f0d83d1cbe204b_0.jpg,"From left, Tim Pigott-Smith, Adam James, Oliver Chris and Richard Goulding in “King Charles III,” written by Mike Bartlett, now being performed in London at the Almeida Theater."
2,534c1b4c38f0d83d1cbe204b_2.jpg,"Mike Bartlett, right, the playwright of “King Charles III,” with Rupert Goold, the play’s director."
0,5a94b1d4410cf7000162e1c5_1.jpg,"Gov. Rick Scott of Florida speaking on Friday in Tallahassee, Fla."
1,5a94b1d4410cf7000162e1c5_0.jpg,Gov. Gina Raimondo of Rhode Island signed an executive order on Monday to keep guns away from people who pose a danger to themselves or others.
0,57377b2638f0d83634562f0a_0.jpg,A Tampa Bay goal against the host Islanders in the last minute of regulation forced overtime in Game 3 of the second round. The Lightning won the game and the series.
0,5819930795d0e022439c68b9_0.jpg,"A fly ball dropped between the Indians’ Lonnie Chisenhall, left, and Tyler Naquin in the first inning of Tuesday’s Game 6 of the World Series."
0,57fff0ed95d0e022439c30de_0.jpg,Selma Blair and Billie Joe Armstrong in “Ordinary World.”
0,56ebe4da38f0d82753b97554_1.jpg,"The Ferrari drivers, Sebastian Vettel, left, and Kimi Raikkonen."
1,56ebe4da38f0d82753b97554_0.jpg,"The defending Formula One world champion Lewis Hamilton, left, and his Mercedes teammate Nico Rosberg."
2,56ebe4da38f0d82753b97554_3.jpg,"The McLaren’s drivers, Jenson Button, left, and Fernando Alonso."
3,56ebe4da38f0d82753b97554_2.jpg,"The Williams drivers, Valtteri Bottas, left, and Felipe Massa."
4,56ebe4da38f0d82753b97554_4.jpg,"Esteban Gutiérrez, left, and Romain Grosjean, drivers for the new Haas team, which is the first United States-based team to race in Formula One since 1985."
0,5690618e38f0d8376e3deec1_0.jpg,"Tanya Nickolan in the Burnside section of the Bronx last month with a portrait of her mother, whose death hit Ms. Nickolan hard."
0,5ac48ee2068401528a2a20c5_0.jpg,"The comedian Eddie Izzard, center, campaigning for the Labour Party in Wales last year. He joined the party in 1995."
0,535bf66438f0d86f3893b4e3_1.jpg,"Michael Zampino, an owner of the Lemon Ice King of Corona, a shop near Citi Field, attributes the Yankees’ advantage in popularity over the Mets to “the winning, 100 percent”; that trend, he said, was reversed in the 1980s, when the Mets were the consistent winner."
1,535bf66438f0d86f3893b4e3_0.jpg,"Irene DeBenedittis in Leo’s Latticini, also known as Mama’s of Corona, the deli that she owns with her sister, Marie. Yankees fans are allowed in, Marie said, “but we give them a hard time.”"
2,535bf66438f0d86f3893b4e3_2.jpg,"Pork sausages and memorabilia at Leo’s Latticini, a bastion of Mets support near Citi Field."
0,545e6f5038f0d86354edf95e_0.jpg,
0,58aeeccf95d0e0247463827a_0.jpg,"Senator Leila De Lima leaving the Philippine Senate in Pasay City, south of Manila, on Thursday."
0,588749ff95d0e0392607c73a_0.jpg,Above is an image related to one of the news stories we have followed this past week. Do you know what it shows?
0,5795e1df38f0d838f06b9c93_0.jpg,New York will have 291 delegates on the convention floor.
0,515d9e01cf28d0219d000905_1.jpg,"La Marina, in Inwood, has been open for a month."
1,515d9e01cf28d0219d000905_0.jpg,COCKTAILS AND WATER Eight friends met at La Marina on Tuesday in time for happy hour and stayed for the sunset and a meal.
0,5a99b8d647de81a9012097aa_0.jpg,
0,57c0724495d0e021d7982d4d_1.jpg,"Judith Rossner’s “August,” about the traditional therapy hiatus."
1,57c0724495d0e021d7982d4d_0.jpg,"In Woody Allen’s “Annie Hall,” Diane Keaton in the title role and Mr. Allen as Alvy Singer with their analysts."
0,5aff5932068401528a2aec1c_1.jpg,A ration box distribution in the Petare slum of Caracas. Venezuelans are struggling with food shortages and soaring prices during the economic crisis that has gripped the country.
1,5aff5932068401528a2aec1c_0.jpg,"Government workers at a rally for President Nicolás Maduro in Caracas, Venezuela’s capital."
2,5aff5932068401528a2aec1c_2.jpg,"The opposition presidential candidate, Henri Falcón, campaigned in Petare this week."
0,514717aefdc5926e77000856_0.jpg,"Peyton Siva, left, calls Louisville’s smothering, full-court pressure “controlled chaos.”"
0,540d801b38f0d85bf251599e_1.jpg,The protections at the Hamaoka plant are said to include sand dunes.
1,540d801b38f0d85bf251599e_0.jpg,Japanese safety activists say that the Hamaoka nuclear power plant southwest of Tokyo is not adequately prepared to withstand an earthquake or a tsunami.
2,540d801b38f0d85bf251599e_2.jpg,"Prime Minister Naoto Kan told a press conference late Friday that “this is the result of considering the tremendous repercussions a major accident at Hamaoka would have on the entire Japanese society."""
0,5a81e88cd4211f00015c07e3_0.jpg,Leon Botstein conducts the American Symphony Orchestra at Carnegie Hall in 2017. The orchestra will celebrate Rimsky-Korsakov at Bard Summerscape.
0,5420bd4038f0d81f7a60080c_1.jpg,"D. Mallama spoke about her daughter, Durgamma, who ran away from her village in Andhra Pradesh, India, after not being able to pay back loans from microfinance agencies."
1,5420bd4038f0d81f7a60080c_0.jpg,"K. Shivamma, a 38-year-old farmer in the Indian village of Madoor, is struggling to pay back a debt of almost $2,000 incurred through microloans."
0,550c300938f0d8631c7b13a9_0.jpg,"A SnugRide Classic Connect infant car seat, one of the models involved in the recall."
0,540a54f438f0d84fb88337ff_0.jpg,"Former State Senator Guy J. Velella, who died last week, leaving jail in 2005. His pension topped $75,000 a year. “I’m entitled to it,” he said a few months ago. “I take it.”"
0,5add4c34068401528a2aa178_0.jpg,Asia Kate Dillon in “Billions.”
0,55d5eb8438f0d84ac8725c9a_1.jpg,The comedian Sasheer Zamata on “Saturday Night Live.”
1,55d5eb8438f0d84ac8725c9a_0.jpg,"Jeff, left, and Eric Rosenthal in 2013."
2,55d5eb8438f0d84ac8725c9a_2.jpg,"THE CHILDREN ACT"" by Ian McEwan."
0,582be81895d0e0204d560b05_1.jpg,"Nikola Tarandek, a truffle hunter, with his dogs, which hunt with him."
1,582be81895d0e0204d560b05_0.jpg,"The town of Motovun, where Istria’s rolling landscapes evoke Tuscany."
2,582be81895d0e0204d560b05_3.jpg,"Fuzi with white truffle shavings from Mondo Tavern in Motovun, Croatia."
3,582be81895d0e0204d560b05_2.jpg,"White truffles found by Nero, a Labrador, in Motovun, Croatia."
0,5661b70b38f0d843202710bd_1.jpg,"The New York financier Paul Singer, shown in Las Vegas in 2012, backs Mr. Rubio for president and is a high-profile contributor of efforts to legalize same-sex marriage."
1,5661b70b38f0d843202710bd_0.jpg,"Senator Marco Rubio read from a Bible at the Family Leadership Summit in Ames, Iowa, on July 18."
2,5661b70b38f0d843202710bd_2.jpg,"Before Mr. Rubio came onstage to speak to the congregation at the First Baptist Church in Guntersville, Ala., on Tuesday, a youth pastor offered a prayer."
0,59f1b2e595d0e0246f2123b2_0.jpg,"Senator Jeff Flake, Republican of Arizona, spoke with reporters on Capitol Hill on Wednesday after announcing that he would not run for re-election."
0,563e799038f0d85411acb1ff_1.jpg,"Two of Robert M. Drake's books have sold a combined 160,000."
1,563e799038f0d85411acb1ff_0.jpg,"Online poets like Tyler Knott Gregson are finding success on bookshelves. Mr. Gregson’s first book has 120,000 copies in print."
0,54444de738f0d82782d9b6a2_1.jpg,"Roscoe Pondexter, left, and his younger brother Clifford starred at Long Beach State in the early 1970s."
1,54444de738f0d82782d9b6a2_0.jpg,"Quincy Pondexter has helped the 11th-seeded Huskies to the East Region semifinals, where they will play second-seeded West Virginia on Thursday in Syracuse."
0,55f4f85f38f0d85a5dd8978a_0.jpg,
0,5087280f95e998af71188c13_0.jpg,Rebekah Brooks was editor of The News of the World and an executive of News International.
0,55f4f85f38f0d85a5dd8978c_0.jpg,
0,55f4f85f38f0d85a5dd8978b_0.jpg,
0,5804ee6195d0e022439c3a08_0.jpg,"The rebel leader Arsen Pavlov, also known as Motorola, married Elena Kolenkina in Donetsk, eastern Ukraine, in 2014."
0,544314ec38f0d8246e88cb58_0.jpg,
0,5402097938f0d80cceb1f78e_0.jpg,Gail Collins
0,562a58cc38f0d843c62760c0_0.jpg,
0,59750ea195d0e0246f1fbeee_0.jpg,Wyatt Cenac in “People of Earth” on TBS.
0,5628cfcd38f0d80f1ae08d86_0.jpg,Stacy Schiff
0,56a7df9d38f0d85239f492fc_0.jpg,
0,5845f0a595d0e03926074402_1.jpg,"Zev Feldman, the general manager of Resonance Records, is"
1,5845f0a595d0e03926074402_0.jpg,"Sarah Vaughan, San Francisco, 1970. Resonance Records is releasing a 1978 live recording from the artist."
2,5845f0a595d0e03926074402_3.jpg,"From left, Steven Williams, Shirley Horn and Charles Ables. A 1988 live recording by Horn is among new releases."
3,5845f0a595d0e03926074402_2.jpg,Bill Evans in 1968. Resonance Records is releasing a studio album by the pianist from the same year.
0,54215fca38f0d81f7a601631_0.jpg,"By getting two more first-round draft picks, the Nets are in better position to trade for the Nuggets’ Carmelo Anthony."
0,53c3321c38f0d8297e22de89_1.jpg,"In Jackson Heights, Queens, two mannequins — one supporting Argentina and the other Germany — defend an empty sidewalk."
1,53c3321c38f0d8297e22de89_0.jpg,"In Elmhurst, Queens, a crowd supporting Argentina gathers to watch the World Cup final on the sidewalk on Corona Avenue and Junction Boulevard."
2,53c3321c38f0d8297e22de89_2.jpg,"Nearly 200 fans of Argentina watched the game at Boca Juniors restaurant in Elmhurst, Queens."
0,55e6a36238f0d86bbc6506db_0.jpg,
0,5443a69038f0d8246e88d77a_0.jpg,"Suzanne Farrell Ballet: Michael Cook with, from left, Kendra Mitchell, Violeta Angelova and Natalia Magnicaballi in a long version of Balanchine’s “Apollo” at the Kennedy Center."
0,576d895338f0d87405ee5e62_0.jpg,"From left: Moncler Gamme Bleu, Diesel Black Gold, Lemaire."
0,533df0b038f0d827c3df8168_0.jpg,"The actor Liev Schreiber, right, and Scott Carlson, an advertising veteran, together founded an agency with a specialty in branded content."
0,54cee14d38f0d863f8d50c0d_0.jpg,The TKTS bleachers north of Times Square remain a popular destination for visitors to the city.
0,57f3005a95d0e021d7989e4e_1.jpg,The Castle casino in Atlantic City recorded total losses of $93.2 million in 1990 and 1991.
1,57f3005a95d0e021d7989e4e_0.jpg,Donald J. Trump leaving Trump Tower in Manhattan in June 1990. Mr. Trump had amassed $3.4 billion in debt by that year.
2,57f3005a95d0e021d7989e4e_3.jpg,"Mr. Trump, outside the New York Stock Exchange, after he took the Trump Plaza casino in Atlantic City public in 1995."
3,57f3005a95d0e021d7989e4e_2.jpg,"Mr. Trump’s airline, Trump Shuttle, lost $34.5 million during just six months in 1990."
0,5507ed3138f0d87501d704d6_1.jpg,"DO-IT-YOURSELF ETHOS  Martine Syms, an artist based in Los Angeles, will perform original material for customers’ voice mail for the Walker Art Center’s online Intangibles franchise."
1,5507ed3138f0d87501d704d6_0.jpg,"EPHEMERAL Alec Soth, a Minnesota artist, sells inexpensive photographs via Snapchat that disappear moments after they arrive."
2,5507ed3138f0d87501d704d6_3.jpg,"GIVING ARTISTS A DIRECT OUTLET  Emmet Byrne, design director at the Walker, and Michele Tobin, retail director of its gift shop, jointly created the digital bazaar known as Intangibles."
3,5507ed3138f0d87501d704d6_2.jpg,"PRIVACY ADVOCATE  Adam Harvey, a Brooklyn artist who focuses on countersurveillance, in his “antidrone hoodie” at New Inc, a design incubator conceived by the New Museum in Manhattan."
0,59bc8f1195d0e0246f208b9a_0.jpg,"The Yankees’ Aaron Judge, left, celebrated with Didi Gregorius after scoring on Gregorius’s fifth-inning homer against the Orioles on Friday."
0,53653b9a38f0d81bc61595ec_0.jpg,"Zakia, 18, and Mohammad Ali, 21, in an undisclosed location in Afghanistan last month. They eloped against the wishes of Zakia’s family, and fear being killed."
0,53b9f74e38f0d846adf43c2a_1.jpg,Troops checking a house for pro-Russian separatists.
1,53b9f74e38f0d846adf43c2a_0.jpg,"People waiting for food aid from Ukrainian soldiers on Sunday in Slovyansk, where government forces routed insurgents."
0,541acd9338f0d80959e6d284_1.jpg,"Mr. Khan in Ahmedabad, India, in January while on a tour to promote his movie “Jai Ho.”"
1,541acd9338f0d80959e6d284_0.jpg,"A still from the documentary ‘‘Being Bhaijaan’’ with Shan Ghosh, left, and Balram Gehani."
0,59bad69e95d0e0246f208078_0.jpg,
0,540667fa38f0d81983bdebdf_1.jpg,"Gov. Andrew M. Cuomo declined to debate a fellow Democrat, Zephyr Teachout, shown with her running mate, Tim Wu."
1,540667fa38f0d81983bdebdf_0.jpg,Gov. Andrew M. Cuomo speaking to reporters in Lower Manhattan on Tuesday.
